1,1fop2fug,Chat,3,1,4,,,Linear,continue
2,sxdrrqqq,Chat,3,2,3,,,Linear,continue
3,yxo0mntn,Chat,3,1,6,Stop,7,Zero,Stop at round 7. Doesn't make sense for me to get half of what I earn in round 8. Even though it's sligthly unfair
4,vz8p85fp,Chat,3,2,7,,,Zero,"I will try to stop at round 8, if I get there."
5,h5iqkkav,Chat,3,1,5,,,Zero,stop 8. we agreed
6,m1xeiym0,Chat,3,1,8,Continue,end,Zero,"I will stop at 4th, if we get to it"
7,dc0r4n9w,Chat,3,2,8,Continue,end,Zero,I would stop
8,bzhcm769,Chat,3,2,5,Stop ,8,Zero,continue till round 8
9,8apo3cgi,Chat,3,1,1,Continue,end,Baseline,continue
10,of1g2i7n,Chat,3,2,1,Continue,end,Baseline,I will be cooperative til the last round if possible. We shall see.
11,gqdmt2ct,Chat,3,2,4,Stop,4,Linear,"stop at 4, as i have told that i will stop at 6"
12,ptg4p4bq,Chat,3,1,3,Stop,7,Linear,stop at 7
13,qy86l5ms,Chat,3,2,2,Stop,2,Baseline,Keep continuing
14,gy8umpec,Chat,3,1,2,,,Baseline,continue until round 7
15,utihjbe3,Chat,3,1,7,Stop,7,Zero,i would stop at 7
16,s1rh1hok,Chat,3,2,6,,,Zero,"continue all the way and stop at round 8, as agreed with my partner to get an overall equal result by the end of all the rounds"
,,,,,,,,,
1,b5p4dfvx,Chat,3,1,7,Stop,5,Zero,I will stop at the 5th level
2,eqn99yd1,Chat,3,2,8,,,Zero,stop 8
3,7uaz1zmn,Chat,3,2,5,Stop,8,Zero,Stop at 8
4,i1zxx0cy,Chat,3,2,7,,,Zero,stop at 6
5,y8cgtqtu,Chat,3,1,2,Continue ,end,Baseline,continue after round 8
6,asoz551b,Chat,3,2,1,Continue ,end,Baseline,stop
7,jrb2fq24,Chat,3,1,4,,,Zero,stop at 8
8,1ak8jpsi,Chat,3,1,6,,,Zero,Stop at 7
9,8l13ucda,Chat,3,1,8,Stop,7,Zero,stop at 8
10,7gq20tln,Chat,3,1,3,Stop,5,Zero,I will stop at round 6
11,5vsk781d,Chat,3,2,3,,,Zero,Stop at #6
12,3cjpvgsh,Chat,3,1,5,,,Zero,Continue until 8
13,5qgljvdo,Chat,3,1,1,Continue ,end,Baseline,continue past stage 8 - as agreed
14,cy6hd3fl,Chat,3,2,2,Continue,end,Baseline,continue till the end
15,z4awa59k,Chat,3,2,6,Stop,6,Zero,not sure
16,ychjeid8,Chat,3,2,4,Stop,8,Zero,Stop at No.8
,,,,,,,,,
1,q5dympb9,No Chat,3,1,6,Stop,7,Zero,stop at 5
2,iej3wiqs,No Chat,3,2,10,Stop,4,Zero,Stop at round 4
3,izp0ens7,No Chat,3,1,1,,,Baseline,I will either end on round 7 or pass it till the last round
4,o2x4xwdw,No Chat,3,1,2,Stop,5,Baseline,I will stop at 5 because the other participant will stop at 6 leaving me at lower payoff
5,siwe72ta,No Chat,3,1,7,Stop,7,Zero,I will try to get 256
6,m0rglibi,No Chat,3,2,6,,,Zero,stop at 8
7,cebne6fm,No Chat,3,2,3,,,Baseline,Pass until round 6
8,8b7gpazh,No Chat,3,2,1,Stop,6,Baseline,i will stop at 6 this time
9,5qmg1euf,No Chat,3,1,5,,,Linear,"attempt to take on round 5, maybe 7 if my chakras align."
10,mwnx2jmr,No Chat,3,2,4,,,Linear,stop at round 8
11,wk89oazu,No Chat,3,2,8,Stop,4,Zero,take at 6
12,e4nxw0n7,No Chat,3,1,9,,,Zero,ends later too
13,388zde2f,No Chat,3,2,7,,,Zero,stop at 6
14,l51m5q34,No Chat,3,1,10,,,Zero,Take at round 7.
15,ukh5d12t,No Chat,3,1,8,,,Zero,I will most likely stop at round 7 as that is the largest pay off for me
16,a19uagf9,No Chat,3,2,9,Stop,6,Zero,Stop at round 6
17,0ijo73ag,No Chat,3,2,5,Stop,4,Linear,stop at 4
18,jq0hzdiq,No Chat,3,1,4,Stop,5,Linear,stop at 3
19,6ixnjwji,No Chat,3,1,3,Stop,7,Baseline,hope im lucky that they go till the end and i take 7
20,81kuxwzk,No Chat,3,2,2,,,Baseline,I will stop at 6
,,,,,,,,,
1,jn8g7l7n,No Chat,3,1,6,Stop,3,Zero,Stop at round 3
2,51junihe,No Chat,3,2,6,,,Zero,no
3,pq2la6sg,No Chat,3,1,7,Stop,5,Zero,Am stopping at round 5
4,5k9ox5nd,No Chat,3,1,8,Stop,5,Zero,I will risk it and continue till 5
5,z5e15miq,No Chat,3,2,4,,,Linear,I will continue.
6,m042ko9i,No Chat,3,2,3,,,Linear,I will stop the interaction in round 6.
7,uz9vuj33,No Chat,3,1,2,Stop,5,Baseline,not sure
8,sdjz7rnn,No Chat,3,2,1,,,Baseline,stop after 2 continues
9,gcskqxru,No Chat,3,1,3,Stop,5,Linear,take at 5
10,vmfijvxr,No Chat,3,1,4,Stop,1,Linear,I will stop to secure the higher payoff
11,xyrv9ls7,No Chat,3,2,5,Stop,4,Linear,I will stop at round 3
12,tx9i16r9,No Chat,3,1,5,,,Linear,stop at stage 8
13,2n25a20e,No Chat,3,1,1,Stop,5,Baseline,Continue
14,2avcbrcp,No Chat,3,2,2,,,Baseline,I will continue as much as I can. Hopefully where it is beneficial for both of us
15,3vny3tt7,No Chat,3,2,8,,,Zero,stop at 6
16,pfpl9l74,No Chat,3,2,7,,,Zero,Probably play as long as I can. Last time I just wanted to do the same as the other person had done for me as a form of retribution.
